ts;x;y;z
2022-12-27 13:56:05.039023;0.309590;0.053666;-0.039750,
2022-12-27 13:56:05.049081;0.337668;0.038852;-0.124507,
2022-12-27 13:56:05.059139;0.414039;0.041047;-0.207233,
2022-12-27 13:56:05.069197;0.521146;0.068646;-0.291224,
2022-12-27 13:56:05.079255;0.626923;0.109475;-0.358741,
2022-12-27 13:56:05.089313;0.734378;0.084752;-0.397533,
2022-12-27 13:56:05.099371;0.822808;0.043613;-0.406924,
2022-12-27 13:56:05.109430;0.879371;0.011036;-0.396714,
2022-12-27 13:56:05.119488;0.894466;-0.064777;-0.372466,
2022-12-27 13:56:05.129546;0.875315;-0.123243;-0.336727,
2022-12-27 13:56:05.139604;0.824884;-0.154223;-0.324080,
2022-12-27 13:56:05.149662;0.767509;-0.157557;-0.359741,
2022-12-27 13:56:05.159720;0.731605;-0.138436;-0.430106,
2022-12-27 13:56:05.169778;0.736302;-0.139769;-0.500149,
2022-12-27 13:56:05.179836;0.852187;-0.162456;-0.574136,
2022-12-27 13:56:05.189894;0.934301;-0.075380;-0.714643,
2022-12-27 13:56:05.199952;1.015148;0.016779;-0.871266,
2022-12-27 13:56:05.210010;1.109986;0.102772;-1.001233,
2022-12-27 13:56:05.220069;1.228263;0.128457;-1.084851,
2022-12-27 13:56:05.230127;1.319393;0.114553;-1.150064,
2022-12-27 13:56:05.240185;1.356463;0.074301;-1.206962,
2022-12-27 13:56:05.250243;1.367630;-0.006506;-1.264681,
2022-12-27 13:56:05.260301;1.363825;-0.013089;-1.317055,
2022-12-27 13:56:05.270359;1.315494;-0.025334;-1.347769,
2022-12-27 13:56:05.280417;1.235902;-0.075047;-1.341486,
2022-12-27 13:56:05.290475;1.112110;-0.142646;-1.309018,
2022-12-27 13:56:05.300533;0.950975;-0.234229;-1.260480,
2022-12-27 13:56:05.310591;0.724953;-0.284317;-1.208721,
2022-12-27 13:56:05.320649;0.431167;-0.315732;-1.206642,
2022-12-27 13:56:05.330708;0.109686;-0.340470;-1.287356,
2022-12-27 13:56:05.340766;-0.115443;-0.376593;-1.409116,
2022-12-27 13:56:05.350824;-0.148273;-0.389466;-1.546333,
2022-12-27 13:56:05.360882;-0.093068;-0.437942;-1.716941,
2022-12-27 13:56:05.370940;-0.065091;-0.486492;-1.926383,
2022-12-27 13:56:05.380998;-0.079768;-0.544698;-2.159389,
2022-12-27 13:56:05.391056;-0.087558;-0.589449;-2.388147,
2022-12-27 13:56:05.401114;-0.035166;-0.634598;-2.609906,
2022-12-27 13:56:05.411172;0.061485;-0.689393;-2.800799,
2022-12-27 13:56:05.421230;0.162594;-0.750766;-2.979884,
2022-12-27 13:56:05.431289;0.259865;-0.808392;-3.129826,
2022-12-27 13:56:05.441347;0.352998;-0.893836;-3.247779,
2022-12-27 13:56:05.451405;0.432172;-0.979532;-3.319376,
2022-12-27 13:56:05.461463;0.468881;-1.061356;-3.351788,
2022-12-27 13:56:05.471521;0.459600;-1.144149;-3.373033,
2022-12-27 13:56:05.481579;0.441462;-1.206723;-3.404218,
2022-12-27 13:56:05.491637;0.460132;-1.256969;-3.444713,
2022-12-27 13:56:05.501695;0.515580;-1.307868;-3.486904,
2022-12-27 13:56:05.511753;0.592153;-1.337485;-3.521449,
2022-12-27 13:56:05.521811;0.697501;-1.366613;-3.545033,
2022-12-27 13:56:05.531871;0.786928;-1.384785;-3.565265,
2022-12-27 13:56:05.541928;0.848802;-1.407272;-3.586043,
2022-12-27 13:56:05.551986;0.879874;-1.424230;-3.577710,
2022-12-27 13:56:05.562044;0.887092;-1.429631;-3.556109,
2022-12-27 13:56:05.572102;0.891883;-1.416362;-3.506626,
2022-12-27 13:56:05.582160;0.903191;-1.384627;-3.423527,
2022-12-27 13:56:05.592218;0.939930;-1.340446;-3.325481,
2022-12-27 13:56:05.602276;0.995747;-1.270012;-3.239728,
2022-12-27 13:56:05.612334;1.063904;-1.192859;-3.128370,
2022-12-27 13:56:05.622392;1.103418;-1.122667;-3.004127,
2022-12-27 13:56:05.632450;1.111786;-1.081531;-2.854575,
2022-12-27 13:56:05.642509;1.101518;-1.030414;-2.677884,
2022-12-27 13:56:05.652568;1.058685;-0.994404;-2.483233,
2022-12-27 13:56:05.662626;0.995050;-0.968751;-2.281498,
2022-12-27 13:56:05.672684;0.907462;-0.946455;-2.086085,
2022-12-27 13:56:05.682742;0.830045;-0.882240;-1.975067,
2022-12-27 13:56:05.692800;0.744779;-0.785098;-1.939176,
2022-12-27 13:56:05.702858;0.669573;-0.696154;-1.983019,
2022-12-27 13:56:05.712916;0.627315;-0.612401;-2.076813,
2022-12-27 13:56:05.722974;0.614896;-0.481890;-2.152851,
2022-12-27 13:56:05.733032;0.652510;-0.376817;-2.156914,
2022-12-27 13:56:05.743090;0.728015;-0.274526;-2.041941,
2022-12-27 13:56:05.753149;0.758259;-0.235405;-1.767800,
2022-12-27 13:56:05.763207;0.738656;-0.206957;-1.370981,
2022-12-27 13:56:05.773265;0.677976;-0.175581;-0.881776,
2022-12-27 13:56:05.783323;0.578693;-0.092515;-0.332148,
2022-12-27 13:56:05.793380;0.464801;-0.045497;0.270246,
2022-12-27 13:56:05.803439;0.329621;0.021868;0.953008,
2022-12-27 13:56:05.813497;0.175960;0.072102;1.673945,
2022-12-27 13:56:05.823555;0.021532;0.134308;2.301565,
2022-12-27 13:56:05.833613;-0.143750;0.295488;2.773456,
2022-12-27 13:56:05.843671;-0.334033;0.524322;3.103189,
2022-12-27 13:56:05.853730;-0.573683;0.771085;3.370007,
2022-12-27 13:56:05.863788;-0.903049;0.947246;3.701483,
2022-12-27 13:56:05.873846;-1.300652;0.970222;4.121511,
2022-12-27 13:56:05.883904;-1.714061;0.914401;4.587859,
2022-12-27 13:56:05.893962;-2.114409;0.828233;5.027380,
2022-12-27 13:56:05.904020;-2.496702;0.765355;5.426104,
2022-12-27 13:56:05.914077;-2.819114;0.649075;5.763715,
2022-12-27 13:56:05.924136;-3.043059;0.559989;6.036411,
2022-12-27 13:56:05.934194;-3.166502;0.504392;6.247081,
2022-12-27 13:56:05.944252;-3.231874;0.443350;6.361105,
2022-12-27 13:56:05.954311;-3.248536;0.470921;6.296743,
2022-12-27 13:56:05.964369;-3.202202;0.653746;5.995345,
2022-12-27 13:56:05.974427;-3.093299;0.817020;5.521951,
2022-12-27 13:56:05.984485;-2.914771;0.994091;5.017677,
2022-12-27 13:56:05.994543;-2.693128;1.082018;4.610245,
2022-12-27 13:56:06.004601;-2.474141;1.033237;4.368457,
2022-12-27 13:56:06.014659;-2.326228;0.926723;4.333781,
2022-12-27 13:56:06.024717;-2.365427;0.751997;4.431083,
2022-12-27 13:56:06.034775;-2.597982;0.575015;4.587595,
2022-12-27 13:56:06.044833;-2.936098;0.466617;4.687714,
2022-12-27 13:56:06.054892;-3.166207;0.374939;4.623121,
2022-12-27 13:56:06.064950;-3.140238;0.336956;4.498502,
2022-12-27 13:56:06.075008;-2.858435;0.334045;4.368484,
2022-12-27 13:56:06.085066;-2.452734;0.335777;4.270675,
2022-12-27 13:56:06.095124;-1.991497;0.330208;4.274606,
2022-12-27 13:56:06.105182;-1.701437;0.283956;4.332282,
2022-12-27 13:56:06.115240;-1.660082;0.188796;4.426065,
2022-12-27 13:56:06.125298;-1.760507;0.107860;4.516573,
2022-12-27 13:56:06.135356;-1.840240;0.121471;4.598290,
2022-12-27 13:56:06.145415;-1.712755;0.055392;4.675605,
2022-12-27 13:56:06.155473;-1.409427;0.021851;4.789117,
2022-12-27 13:56:06.165531;-1.103461;0.038296;4.896836,
2022-12-27 13:56:06.175589;-0.903644;0.044310;4.959452,
2022-12-27 13:56:06.185647;-0.811216;0.085210;4.989795,
2022-12-27 13:56:06.195705;-0.822890;0.140062;4.910479,
2022-12-27 13:56:06.205763;-0.860445;0.221034;4.684851,
2022-12-27 13:56:06.215821;-0.884820;0.348052;4.345743,
2022-12-27 13:56:06.225879;-0.881012;0.441194;3.977092,
2022-12-27 13:56:06.235937;-0.858252;0.507370;3.632081,
2022-12-27 13:56:06.245996;-0.812180;0.527051;3.377739,
2022-12-27 13:56:06.256054;-0.809031;0.508851;3.249087,
2022-12-27 13:56:06.266112;-0.863416;0.510826;3.199780,
2022-12-27 13:56:06.276170;-0.909405;0.525256;3.213970,
2022-12-27 13:56:06.286228;-0.941715;0.559566;3.271564,
2022-12-27 13:56:06.296286;-0.982553;0.476532;3.348680,
2022-12-27 13:56:06.306344;-0.956084;0.446018;3.439708,
2022-12-27 13:56:06.316402;-0.910422;0.422029;3.566963,
2022-12-27 13:56:06.326460;-0.905973;0.405380;3.695114,
2022-12-27 13:56:06.336518;-0.927910;0.380648;3.817073,
2022-12-27 13:56:06.346577;-1.016942;0.394381;3.921772,
